venta_id;fecha;producto_id;cliente_id;tienda_id;vendedor_id;cantidad;precio_unitario;costo_unitario;descuento_porcentaje;venta_neta;costo_total;utilidad
40;2023-03-06;16;361;2;7;1;142.24;105;0;142.24;105;37.24
41;2023-04-01;2;16;4;9;5;1150.48;670;0;5752.4;3350;2402.4
42;2023-05-20;2;171;2;12;3;1150.48;670;5;3278.87;2010;1268.87
43;2023-10-19;16;171;4;14;1;142.24;105;10;128.02;105;23.02
44;2024-09-26;17;201;3;3;2;439.51;310;5;835.07;620;215.07
45;2025-04-10;14;309;4;9;4;361.58;231;15;1229.37;924;305.37
46;2023-05-14;17;148;4;9;5;439.51;310;5;2087.67;1550;537.67
47;2024-04-26;10;405;3;13;5;1154.83;660;0;5774.15;3300;2474.15
48;2023-09-06;17;13;4;14;4;439.51;310;10;1582.24;1240;342.24
49;2024-04-05;26;150;4;4;3;835.82;478;0;2507.46;1434;1073.46
50;2024-09-08;24;484;3;3;3;405.54;306;15;1034.13;918;116.13
51;2023-08-11;20;418;3;3;5;479.99;293;0;2399.95;1465;934.95
52;2023-07-15;3;490;5;10;1;212.75;123;15;180.84;123;57.84
53;2025-11-01;20;222;4;4;2;479.99;293;5;911.98;586;325.98
54;2023-03-17;19;424;2;12;4;244.74;140;0;978.96;560;418.96
55;2024-11-16;2;439;3;3;2;1150.48;670;0;2300.96;1340;960.96
56;2024-04-06;5;167;5;15;5;69.39;47;0;346.95;235;111.95
57;2025-03-11;1;244;1;11;1;242.37;174;15;206.01;174;32.01
58;2025-11-26;8;171;2;12;5;919.26;614;5;4366.48;3070;1296.48
59;2025-08-03;18;121;4;4;4;377.84;282;0;1511.36;1128;383.36
60;2024-10-13;10;286;5;10;5;1154.83;660;0;5774.15;3300;2474.15
61;2023-10-27;20;75;5;5;3;479.99;293;0;1439.97;879;560.97
62;2025-02-16;10;166;2;12;1;1154.83;660;5;1097.09;660;437.09
63;2025-07-14;14;300;3;3;2;361.58;231;0;723.16;462;261.16
64;2023-04-18;12;163;3;13;5;181.86;114;10;818.37;570;248.37
65;2024-05-11;8;439;1;11;4;919.26;614;15;3125.48;2456;669.48
66;2024-10-07;14;389;1;1;5;361.58;231;15;1536.71;1155;381.71
67;2023-07-27;7;35;3;3;3;522.78;346;0;1568.34;1038;530.34
68;2023-10-20;13;392;1;6;4;770.23;523;10;2772.83;2092;680.83
69;2023-04-23;2;231;4;9;3;1150.48;670;0;3451.44;2010;1441.44
70;2024-04-18;9;132;4;9;1;316.86;233;0;316.86;233;83.86
71;2023-06-26;2;147;4;4;4;1150.48;670;15;3911.63;2680;1231.63
72;2025-03-31;23;246;4;9;3;1081.01;680;0;3243.03;2040;1203.03
73;2025-08-12;21;382;4;14;2;382.02;244;0;764.04;488;276.04
74;2023-04-04;3;315;5;15;4;212.75;123;0;851.0;492;359.0
75;2023-12-15;10;100;5;10;2;1154.83;660;10;2078.69;1320;758.69
76;2025-01-28;7;53;1;11;4;522.78;346;15;1777.45;1384;393.45
77;2025-01-22;11;338;1;11;1;519.38;363;10;467.44;363;104.44
78;2023-08-04;7;460;4;9;1;522.78;346;0;522.78;346;176.78
79;2023-10-13;15;221;1;1;1;74.85;55;0;74.85;55;19.85
80;2025-07-20;6;149;2;7;2;125.45;96;15;213.26;192;21.26
81;2025-12-22;2;249;2;12;3;1150.48;670;5;3278.87;2010;1268.87
82;2023-12-03;15;283;4;14;4;74.85;55;0;299.4;220;79.4
83;2024-05-26;16;249;5;5;4;142.24;105;10;512.06;420;92.06
84;2023-12-17;2;11;1;1;1;1150.48;670;5;1092.96;670;422.96
85;2023-09-06;21;35;3;13;4;382.02;244;0;1528.08;976;552.08
86;2025-06-21;7;461;2;12;2;522.78;346;0;1045.56;692;353.56
87;2024-03-08;4;103;1;1;1;1059.28;606;0;1059.28;606;453.28
88;2025-01-16;5;37;2;7;1;69.39;47;0;69.39;47;22.39
89;2024-08-27;19;9;3;13;5;244.74;140;0;1223.7;700;523.7
90;2023-01-28;24;38;3;3;3;405.54;306;0;1216.62;918;298.62
91;2024-03-12;11;357;5;5;1;519.38;363;10;467.44;363;104.44
92;2023-08-15;8;395;3;8;2;919.26;614;0;1838.52;1228;610.52
93;2025-02-16;3;250;5;10;4;212.75;123;0;851.0;492;359.0
94;2025-08-07;23;145;2;2;4;1081.01;680;5;4107.84;2720;1387.84
95;2024-01-09;14;213;4;4;5;361.58;231;0;1807.9;1155;652.9
96;2025-07-29;17;185;3;3;5;439.51;310;5;2087.67;1550;537.67
97;2023-05-17;20;207;3;3;2;479.99;293;0;959.98;586;373.98
98;2024-02-20;9;167;3;3;3;316.86;233;0;950.58;699;251.58
99;2023-10-19;7;299;1;6;3;522.78;346;15;1333.09;1038;295.09
100;2024-07-10;21;10;3;3;4;382.02;244;5;1451.68;976;475.68
101;2024-05-16;21;18;1;1;1;382.02;244;15;324.72;244;80.72
102;2024-11-30;3;239;3;13;4;212.75;123;0;851.0;492;359.0
103;2024-10-28;25;241;4;4;5;978.48;682;0;4892.4;3410;1482.4
104;2023-11-12;16;468;1;1;4;142.24;105;10;512.06;420;92.06
105;2025-02-17;15;432;1;6;4;74.85;55;0;299.4;220;79.4
106;2023-12-09;21;68;4;14;3;382.02;244;15;974.15;732;242.15
107;2025-07-30;7;440;3;13;4;522.78;346;5;1986.56;1384;602.56
108;2025-04-13;24;480;2;2;1;405.54;306;0;405.54;306;99.54
109;2025-10-15;14;455;2;12;5;361.58;231;15;1536.71;1155;381.71
110;2025-06-12;9;68;3;3;4;316.86;233;15;1077.32;932;145.32
111;2025-03-23;12;400;3;8;3;181.86;114;5;518.3;342;176.3
112;2025-10-26;2;143;3;8;2;1150.48;670;0;2300.96;1340;960.96
113;2025-08-18;3;464;1;11;1;212.75;123;0;212.75;123;89.75
114;2025-12-11;1;163;4;4;2;242.37;174;0;484.74;348;136.74
115;2025-09-05;26;196;2;12;3;835.82;478;10;2256.71;1434;822.71
116;2025-01-30;11;379;4;14;4;519.38;363;10;1869.77;1452;417.77
117;2025-06-01;8;351;4;9;5;919.26;614;5;4366.48;3070;1296.48
118;2023-10-07;22;68;3;8;5;96.8;77;15;411.4;385;26.4
119;2023-04-22;10;227;4;9;1;1154.83;660;0;1154.83;660;494.83
120;2025-09-27;15;179;3;13;1;74.85;55;0;74.85;55;19.85
121;2023-02-15;9;336;4;14;4;316.86;233;0;1267.44;932;335.44
122;2025-01-28;8;141;2;7;1;919.26;614;5;873.3;614;259.3
123;2025-10-08;6;89;3;13;2;125.45;96;0;250.9;192;58.9
124;2024-07-06;26;454;1;1;1;835.82;478;15;710.45;478;232.45
125;2024-07-05;24;454;1;11;4;405.54;306;0;1622.16;1224;398.16
126;2025-09-27;7;304;4;9;1;522.78;346;0;522.78;346;176.78
127;2024-11-13;13;165;4;9;4;770.23;523;0;3080.92;2092;988.92
128;2024-04-24;20;41;2;12;5;479.99;293;5;2279.95;1465;814.95
129;2025-02-07;15;55;1;1;4;74.85;55;15;254.49;220;34.49
130;2025-09-19;1;218;3;13;3;242.37;174;0;727.11;522;205.11
131;2024-01-29;15;492;3;13;3;74.85;55;0;224.55;165;59.55
132;2023-06-27;24;204;2;7;1;405.54;306;0;405.54;306;99.54
133;2024-11-27;11;403;5;15;1;519.38;363;15;441.47;363;78.47
134;2024-03-08;4;39;4;9;5;1059.28;606;0;5296.4;3030;2266.4
135;2025-01-05;7;282;1;11;4;522.78;346;5;1986.56;1384;602.56
136;2023-05-15;11;417;4;14;1;519.38;363;10;467.44;363;104.44
137;2025-02-05;2;447;4;4;5;1150.48;670;0;5752.4;3350;2402.4
138;2024-05-17;22;345;2;12;3;96.8;77;15;246.84;231;15.84
139;2023-07-08;21;344;1;11;5;382.02;244;15;1623.58;1220;403.58
140;2024-04-03;1;194;3;3;1;242.37;174;10;218.13;174;44.13
141;2024-06-26;18;194;5;10;4;377.84;282;0;1511.36;1128;383.36
142;2024-01-11;1;411;1;11;3;242.37;174;0;727.11;522;205.11
143;2025-06-25;21;209;3;3;1;382.02;244;0;382.02;244;138.02
144;2025-01-01;1;494;4;4;4;242.37;174;0;969.48;696;273.48
145;2024-08-16;19;184;5;15;4;244.74;140;0;978.96;560;418.96
146;2023-05-20;20;146;2;2;4;479.99;293;0;1919.96;1172;747.96
147;2025-04-03;13;123;2;12;5;770.23;523;0;3851.15;2615;1236.15
148;2023-09-25;4;132;5;5;5;1059.28;606;0;5296.4;3030;2266.4
149;2023-08-14;3;216;3;13;2;212.75;123;10;382.95;246;136.95
150;2023-07-26;21;218;2;7;1;382.02;244;0;382.02;244;138.02
151;2025-02-19;7;246;4;14;4;522.78;346;0;2091.12;1384;707.12
152;2023-05-20;7;123;3;13;2;522.78;346;0;1045.56;692;353.56
153;2023-01-29;12;202;1;6;4;181.86;114;10;654.7;456;198.7
154;2025-11-10;25;400;4;14;2;978.48;682;10;1761.26;1364;397.26
155;2024-01-05;25;391;4;4;2;978.48;682;0;1956.96;1364;592.96
156;2025-08-17;18;246;2;12;1;377.84;282;15;321.16;282;39.16
157;2024-11-15;4;330;4;4;1;1059.28;606;5;1006.32;606;400.32
158;2024-09-09;1;44;1;11;2;242.37;174;10;436.27;348;88.27
159;2024-05-14;15;358;5;10;3;74.85;55;15;190.87;165;25.87
160;2023-08-06;15;321;3;3;3;74.85;55;5;213.32;165;48.32
161;2023-01-14;1;204;4;14;3;242.37;174;5;690.75;522;168.75
162;2023-12-07;11;239;4;4;1;519.38;363;5;493.41;363;130.41
163;2025-04-15;18;16;2;12;2;377.84;282;0;755.68;564;191.68
164;2025-01-15;23;227;5;15;2;1081.01;680;5;2053.92;1360;693.92
165;2024-10-19;3;207;5;5;1;212.75;123;0;212.75;123;89.75
166;2025-09-22;21;135;3;8;3;382.02;244;0;1146.06;732;414.06
167;2024-07-04;18;54;2;2;4;377.84;282;10;1360.22;1128;232.22
168;2023-07-06;23;457;2;2;4;1081.01;680;0;4324.04;2720;1604.04
169;2025-07-30;18;352;4;4;4;377.84;282;0;1511.36;1128;383.36
170;2025-03-26;1;243;3;13;3;242.37;174;0;727.11;522;205.11
171;2023-12-18;18;479;5;10;4;377.84;282;0;1511.36;1128;383.36
172;2023-11-30;7;225;3;13;2;522.78;346;15;888.73;692;196.73
173;2023-12-31;18;273;1;1;3;377.84;282;0;1133.52;846;287.52
174;2023-12-26;16;46;4;4;1;142.24;105;10;128.02;105;23.02
175;2025-02-11;23;31;5;5;3;1081.01;680;10;2918.73;2040;878.73
176;2025-09-14;26;142;3;13;1;835.82;478;15;710.45;478;232.45
177;2023-05-06;1;123;5;5;1;242.37;174;0;242.37;174;68.37
178;2024-08-18;17;88;4;9;4;439.51;310;0;1758.04;1240;518.04
179;2025-03-09;13;285;1;6;1;770.23;523;0;770.23;523;247.23
180;2024-07-04;5;254;3;3;4;69.39;47;0;277.56;188;89.56
181;2025-10-24;8;132;5;15;5;919.26;614;0;4596.3;3070;1526.3
182;2023-05-17;22;327;1;11;1;96.8;77;15;82.28;77;5.28
183;2025-12-15;11;92;1;6;1;519.38;363;5;493.41;363;130.41
184;2025-03-28;24;467;2;2;3;405.54;306;0;1216.62;918;298.62
185;2023-04-17;14;409;1;11;1;361.58;231;0;361.58;231;130.58
186;2023-07-28;17;26;3;13;3;439.51;310;0;1318.53;930;388.53
187;2025-11-12;16;325;2;12;5;142.24;105;5;675.64;525;150.64
188;2025-02-28;9;454;5;10;5;316.86;233;5;1505.09;1165;340.09
189;2024-03-09;19;435;1;11;3;244.74;140;0;734.22;420;314.22
190;2023-11-24;7;470;3;3;5;522.78;346;0;2613.9;1730;883.9
191;2025-01-13;21;283;5;5;1;382.02;244;0;382.02;244;138.02
192;2023-04-17;23;71;2;7;1;1081.01;680;15;918.86;680;238.86
193;2023-05-10;14;463;3;8;5;361.58;231;15;1536.71;1155;381.71
194;2024-12-31;5;169;2;2;1;69.39;47;15;58.98;47;11.98
195;2023-02-28;20;126;3;8;1;479.99;293;0;479.99;293;186.99
196;2024-09-29;25;5;1;1;5;978.48;682;0;4892.4;3410;1482.4
197;2025-09-10;16;495;5;5;1;142.24;105;0;142.24;105;37.24
198;2024-10-30;23;272;2;12;5;1081.01;680;5;5134.8;3400;1734.8
199;2025-08-29;15;189;4;4;4;74.85;55;10;269.46;220;49.46
200;2023-12-21;7;147;3;8;4;522.78;346;10;1882.01;1384;498.01
201;2025-08-20;6;177;4;14;4;125.45;96;5;476.71;384;92.71
202;2023-07-28;11;235;1;1;1;519.38;363;15;441.47;363;78.47
203;2025-10-18;6;263;3;13;2;125.45;96;0;250.9;192;58.9
204;2023-06-26;5;488;4;14;2;69.39;47;0;138.78;94;44.78
205;2024-05-31;12;378;1;6;3;181.86;114;0;545.58;342;203.58
206;2025-12-18;3;151;3;3;4;212.75;123;0;851.0;492;359.0
207;2024-03-04;12;492;5;5;1;181.86;114;0;181.86;114;67.86
208;2024-05-29;18;302;2;12;2;377.84;282;5;717.9;564;153.9
209;2024-09-11;5;356;3;8;1;69.39;47;5;65.92;47;18.92
210;2025-08-14;14;199;5;5;5;361.58;231;5;1717.5;1155;562.5
211;2023-11-26;6;192;3;13;4;125.45;96;10;451.62;384;67.62
212;2024-07-19;15;68;3;3;5;74.85;55;0;374.25;275;99.25
213;2025-05-19;23;199;1;11;5;1081.01;680;5;5134.8;3400;1734.8
214;2024-12-11;7;197;3;13;1;522.78;346;15;444.36;346;98.36
215;2025-04-01;11;159;3;3;4;519.38;363;15;1765.89;1452;313.89
216;2024-06-20;17;102;1;1;4;439.51;310;15;1494.33;1240;254.33
217;2024-12-04;22;226;3;3;3;96.8;77;10;261.36;231;30.36
218;2024-04-27;1;452;3;8;2;242.37;174;0;484.74;348;136.74
219;2023-10-01;20;495;3;13;5;479.99;293;10;2159.95;1465;694.95
220;2024-12-22;6;117;4;4;2;125.45;96;15;213.26;192;21.26
221;2024-01-06;22;177;4;4;3;96.8;77;0;290.4;231;59.4
222;2023-01-09;18;373;2;2;4;377.84;282;10;1360.22;1128;232.22
223;2025-08-27;17;217;4;4;4;439.51;310;5;1670.14;1240;430.14
224;2024-11-26;1;408;1;1;5;242.37;174;0;1211.85;870;341.85
225;2025-04-21;1;434;3;13;3;242.37;174;5;690.75;522;168.75
226;2025-08-10;4;178;3;13;1;1059.28;606;5;1006.32;606;400.32
227;2025-08-27;20;480;5;5;4;479.99;293;0;1919.96;1172;747.96
228;2025-04-22;9;150;5;10;2;316.86;233;10;570.35;466;104.35
229;2023-09-13;14;428;5;5;1;361.58;231;0;361.58;231;130.58
230;2025-07-14;5;195;5;5;5;69.39;47;15;294.91;235;59.91
231;2024-11-10;24;106;2;12;5;405.54;306;0;2027.7;1530;497.7
232;2023-05-24;1;498;3;13;5;242.37;174;10;1090.66;870;220.66
233;2023-12-01;11;330;1;1;1;519.38;363;0;519.38;363;156.38
234;2024-12-23;25;104;5;15;1;978.48;682;0;978.48;682;296.48
235;2023-10-02;12;120;3;8;4;181.86;114;15;618.32;456;162.32
236;2025-12-09;23;267;1;11;1;1081.01;680;0;1081.01;680;401.01
237;2023-01-19;18;376;4;9;1;377.84;282;15;321.16;282;39.16
238;2023-04-17;19;484;5;10;5;244.74;140;0;1223.7;700;523.7
239;2024-11-09;3;231;1;6;2;212.75;123;15;361.68;246;115.68
240;2024-10-11;9;456;3;13;2;316.86;233;15;538.66;466;72.66
241;2023-11-14;7;161;2;12;1;522.78;346;0;522.78;346;176.78
242;2023-02-02;15;148;3;13;1;74.85;55;0;74.85;55;19.85
243;2025-11-21;19;13;5;5;2;244.74;140;15;416.06;280;136.06
244;2024-05-03;19;441;5;5;1;244.74;140;0;244.74;140;104.74
245;2025-07-05;23;402;2;2;1;1081.01;680;15;918.86;680;238.86
246;2024-02-13;12;165;1;6;3;181.86;114;0;545.58;342;203.58
247;2024-07-03;6;128;1;11;1;125.45;96;0;125.45;96;29.45
248;2023-09-03;26;181;5;15;5;835.82;478;10;3761.19;2390;1371.19
249;2025-02-18;15;433;4;4;4;74.85;55;15;254.49;220;34.49
250;2023-01-16;23;64;4;9;4;1081.01;680;0;4324.04;2720;1604.04
251;2023-01-02;11;440;1;11;3;519.38;363;10;1402.33;1089;313.33
252;2023-04-21;23;326;1;6;3;1081.01;680;0;3243.03;2040;1203.03
253;2024-01-12;26;475;4;14;3;835.82;478;10;2256.71;1434;822.71
254;2024-07-15;15;272;5;10;4;74.85;55;0;299.4;220;79.4
255;2025-12-16;10;40;4;9;2;1154.83;660;0;2309.66;1320;989.66
256;2023-11-15;1;331;1;6;2;242.37;174;15;412.03;348;64.03
257;2023-04-22;7;104;2;2;3;522.78;346;10;1411.51;1038;373.51
258;2025-05-14;17;323;1;11;4;439.51;310;15;1494.33;1240;254.33
259;2024-10-07;21;299;2;12;2;382.02;244;0;764.04;488;276.04
260;2023-12-09;26;350;2;12;4;835.82;478;0;3343.28;1912;1431.28
261;2023-06-13;2;193;3;8;3;1150.48;670;0;3451.44;2010;1441.44
262;2024-01-07;22;437;5;5;4;96.8;77;0;387.2;308;79.2
263;2024-02-28;14;25;2;7;3;361.58;231;0;1084.74;693;391.74
264;2023-10-03;17;153;3;8;3;439.51;310;10;1186.68;930;256.68
265;2024-09-28;19;426;3;3;3;244.74;140;0;734.22;420;314.22
266;2025-04-16;18;421;5;10;2;377.84;282;10;680.11;564;116.11
267;2023-08-25;26;67;4;4;4;835.82;478;10;3008.95;1912;1096.95
268;2025-04-27;16;117;5;5;3;142.24;105;15;362.71;315;47.71
269;2024-10-14;23;310;2;2;4;1081.01;680;15;3675.43;2720;955.43
270;2025-04-30;6;251;1;11;1;125.45;96;5;119.18;96;23.18
271;2025-07-08;25;436;1;6;1;978.48;682;0;978.48;682;296.48
272;2025-12-22;20;316;2;2;2;479.99;293;0;959.98;586;373.98
273;2023-05-14;26;373;3;13;1;835.82;478;0;835.82;478;357.82
274;2023-11-08;1;45;4;4;1;242.37;174;15;206.01;174;32.01
275;2025-02-16;11;401;1;11;3;519.38;363;10;1402.33;1089;313.33
276;2024-12-13;14;302;3;8;1;361.58;231;0;361.58;231;130.58
277;2023-03-17;1;153;2;12;1;242.37;174;15;206.01;174;32.01
278;2023-07-23;23;142;5;10;1;1081.01;680;0;1081.01;680;401.01
279;2023-04-10;9;151;4;14;2;316.86;233;5;602.03;466;136.03
280;2024-02-17;2;270;3;13;3;1150.48;670;0;3451.44;2010;1441.44
281;2023-10-08;11;248;4;14;2;519.38;363;5;986.82;726;260.82
282;2025-08-04;6;14;3;3;5;125.45;96;10;564.52;480;84.52
283;2024-05-26;19;131;1;6;5;244.74;140;0;1223.7;700;523.7
284;2025-03-07;15;113;1;11;1;74.85;55;0;74.85;55;19.85
285;2023-07-28;14;161;1;11;1;361.58;231;0;361.58;231;130.58
286;2023-07-24;15;104;3;8;2;74.85;55;0;149.7;110;39.7
287;2025-07-18;3;206;2;2;5;212.75;123;10;957.38;615;342.38
288;2024-12-14;19;412;1;6;3;244.74;140;10;660.8;420;240.8
289;2024-02-18;11;94;5;5;3;519.38;363;15;1324.42;1089;235.42
290;2024-08-17;9;417;1;6;1;316.86;233;0;316.86;233;83.86
291;2025-05-02;12;468;1;6;1;181.86;114;0;181.86;114;67.86
292;2024-06-05;26;150;1;1;3;835.82;478;5;2382.09;1434;948.09
293;2025-05-09;8;248;4;4;3;919.26;614;0;2757.78;1842;915.78
294;2023-05-15;10;67;5;10;3;1154.83;660;0;3464.49;1980;1484.49
295;2024-01-21;3;384;4;9;1;212.75;123;0;212.75;123;89.75
296;2023-08-31;1;406;1;1;4;242.37;174;15;824.06;696;128.06
297;2024-06-24;15;285;4;4;2;74.85;55;0;149.7;110;39.7
298;2023-05-25;18;235;4;9;2;377.84;282;0;755.68;564;191.68
299;2025-11-03;14;448;3;8;3;361.58;231;5;1030.5;693;337.5
300;2023-05-13;18;69;2;7;1;377.84;282;0;377.84;282;95.84
301;2025-11-11;21;400;5;10;2;382.02;244;0;764.04;488;276.04
302;2024-06-06;16;343;4;4;5;142.24;105;15;604.52;525;79.52
303;2023-02-27;12;201;2;12;1;181.86;114;0;181.86;114;67.86
304;2025-03-06;22;276;5;10;2;96.8;77;10;174.24;154;20.24
305;2023-07-01;8;6;4;9;4;919.26;614;0;3677.04;2456;1221.04
306;2023-09-16;3;265;1;1;4;212.75;123;15;723.35;492;231.35
307;2025-10-01;25;393;2;7;3;978.48;682;5;2788.67;2046;742.67
308;2023-07-07;16;254;4;14;4;142.24;105;15;483.62;420;63.62
309;2023-07-07;5;477;4;9;3;69.39;47;5;197.76;141;56.76
310;2023-07-19;6;252;1;11;3;125.45;96;0;376.35;288;88.35
311;2024-07-08;10;219;3;3;1;1154.83;660;0;1154.83;660;494.83
312;2025-03-11;20;310;5;15;3;479.99;293;0;1439.97;879;560.97
313;2023-09-26;20;497;3;8;5;479.99;293;5;2279.95;1465;814.95
314;2024-10-05;12;295;2;2;5;181.86;114;10;818.37;570;248.37
315;2025-05-19;8;418;3;3;2;919.26;614;0;1838.52;1228;610.52
316;2023-01-29;22;345;5;15;2;96.8;77;0;193.6;154;39.6
317;2025-04-02;9;187;5;15;1;316.86;233;0;316.86;233;83.86
318;2025-06-21;13;370;2;2;3;770.23;523;0;2310.69;1569;741.69
319;2024-04-21;6;468;4;14;1;125.45;96;10;112.91;96;16.91
320;2025-08-16;5;238;4;4;2;69.39;47;0;138.78;94;44.78
321;2023-05-26;17;420;3;13;1;439.51;310;10;395.56;310;85.56
322;2024-11-30;5;430;2;2;3;69.39;47;15;176.94;141;35.94
323;2024-03-13;15;482;5;10;2;74.85;55;10;134.73;110;24.73
324;2024-11-27;18;174;2;2;1;377.84;282;0;377.84;282;95.84
325;2025-12-12;10;340;4;4;4;1154.83;660;10;4157.39;2640;1517.39
326;2024-04-13;22;428;5;10;3;96.8;77;0;290.4;231;59.4
327;2025-08-22;14;278;5;5;5;361.58;231;0;1807.9;1155;652.9
328;2025-04-13;14;479;3;8;4;361.58;231;0;1446.32;924;522.32
329;2025-05-09;11;154;5;15;5;519.38;363;0;2596.9;1815;781.9
330;2023-03-26;3;249;1;1;3;212.75;123;10;574.43;369;205.43
331;2024-09-28;20;409;3;8;3;479.99;293;15;1223.97;879;344.97
332;2023-01-27;14;317;4;9;5;361.58;231;15;1536.71;1155;381.71
333;2024-03-30;10;325;3;3;4;1154.83;660;5;4388.35;2640;1748.35
334;2025-04-23;1;298;1;6;5;242.37;174;0;1211.85;870;341.85
335;2025-01-06;23;452;2;12;5;1081.01;680;0;5405.05;3400;2005.05
336;2023-06-16;2;248;3;13;3;1150.48;670;0;3451.44;2010;1441.44
337;2023-08-21;25;441;1;1;5;978.48;682;5;4647.78;3410;1237.78
338;2023-10-07;23;376;4;14;5;1081.01;680;0;5405.05;3400;2005.05
339;2023-05-28;2;158;5;15;3;1150.48;670;5;3278.87;2010;1268.87
340;2024-03-06;14;149;3;8;3;361.58;231;5;1030.5;693;337.5
341;2023-11-30;25;115;4;9;1;978.48;682;5;929.56;682;247.56
342;2023-12-22;12;478;1;1;5;181.86;114;15;772.91;570;202.91
343;2023-11-29;4;118;1;6;2;1059.28;606;0;2118.56;1212;906.56
344;2025-12-08;17;201;4;9;5;439.51;310;5;2087.67;1550;537.67
345;2023-04-15;6;158;1;11;4;125.45;96;5;476.71;384;92.71
346;2025-10-02;24;481;2;7;5;405.54;306;0;2027.7;1530;497.7
347;2024-06-14;7;191;1;1;2;522.78;346;15;888.73;692;196.73
348;2023-04-08;3;322;1;11;2;212.75;123;5;404.22;246;158.22
349;2025-05-05;5;85;2;2;1;69.39;47;0;69.39;47;22.39
350;2025-10-04;23;354;1;1;4;1081.01;680;5;4107.84;2720;1387.84
351;2025-07-21;2;294;1;11;1;1150.48;670;0;1150.48;670;480.48
352;2024-01-05;14;25;4;9;2;361.58;231;0;723.16;462;261.16
353;2024-04-18;2;232;1;6;5;1150.48;670;0;5752.4;3350;2402.4
354;2025-02-06;11;225;3;13;2;519.38;363;0;1038.76;726;312.76
355;2025-07-25;23;136;5;10;5;1081.01;680;5;5134.8;3400;1734.8
356;2024-10-25;15;9;3;8;4;74.85;55;0;299.4;220;79.4
357;2023-10-10;24;21;1;6;5;405.54;306;0;2027.7;1530;497.7
358;2023-01-17;12;98;5;5;1;181.86;114;10;163.67;114;49.67
359;2024-02-10;21;159;3;13;5;382.02;244;5;1814.59;1220;594.59
360;2023-07-02;1;398;2;2;2;242.37;174;5;460.5;348;112.5
361;2024-11-11;25;454;1;1;3;978.48;682;0;2935.44;2046;889.44
362;2024-03-18;9;495;1;11;5;316.86;233;0;1584.3;1165;419.3
363;2025-09-28;18;289;3;8;5;377.84;282;10;1700.28;1410;290.28
